Foods,Price/ Serving,Serving Size,Calories,Cholesterol mg,Total_Fat g,Sodium mg,Carbohydrates g,Dietary_Fiber g,Protein g,Vit_A IU,Vit_C IU,Calcium mg,Iron mg
Frozen Broccoli,0.16,10 Oz Pkg,73.80,0.00,0.80,68.20,13.60,8.50,8.00,5867.40,160.20,159.00,2.30
"Carrots,Raw",0.07,1/2 Cup Shredded,23.70,0.00,0.10,19.20,5.60,1.60,0.60,15471.00,5.10,14.90,0.30
"Celery, Raw",0.04,1 Stalk,6.40,0.00,0.10,34.80,1.50,0.70,0.30,53.60,2.80,16.00,0.20
Frozen Corn,0.18,1/2 Cup,72.20,0.00,0.60,2.50,17.10,2.00,2.50,106.60,5.20,3.30,0.30
"Lettuce,Iceberg,Raw",0.02,1 Leaf,2.60,0.00,0.00,1.80,0.40,0.30,0.20,66.00,0.80,3.80,0.10
"Peppers, Sweet, Raw",0.53,1 Pepper,20.00,0.00,0.10,1.50,4.80,1.30,0.70,467.70,66.10,6.70,0.30
"Potatoes, Baked",0.06,1/2 Cup,171.50,0.00,0.20,15.20,39.90,3.20,3.70,0.00,15.60,22.70,4.30
Tofu,0.31,1/4 block,88.20,0.00,5.50,8.10,2.20,1.40,9.40,98.60,0.10,121.80,6.20
Roasted Chicken,0.84,1 lb chicken,277.40,129.90,10.80,125.60,0.00,0.00,42.20,77.40,0.00,21.90,1.80
Spaghetti W/ Sauce,0.78,1 1/2 Cup,358.20,0.00,12.30,1237.10,58.30,11.60,8.20,3055.20,27.90,80.20,2.30
"Tomato,Red,Ripe,Raw",0.27,"1 Tomato, 2-3/5 In",25.80,0.00,0.40,11.10,5.70,1.40,1.00,766.30,23.50,6.20,0.60
"Apple,Raw,W/Skin",0.24,"1 Fruit,3/Lb,Wo/Rf",81.40,0.00,0.50,0.00,21.00,3.70,0.30,73.10,7.90,9.70,0.20
Banana,0.15,"1 Fruit,Wo/Skn&Seeds",104.90,0.00,0.50,1.10,26.70,2.70,1.20,92.30,10.40,6.80,0.40
Grapes,0.32,"10 Fruits,Wo/Rf",15.10,0.00,0.10,0.50,4.10,0.20,0.20,24.00,1.00,3.40,0.10
"Kiwifruit,Raw,Fresh",0.49,"1 Med Frt,Wo/Skin",46.40,0.00,0.30,3.80,11.30,2.60,0.80,133.00,74.50,19.80,0.30
Oranges,0.15,"1 Frt,2-5/8 Diam",61.60,0.00,0.20,0.00,15.40,3.10,1.20,268.60,69.70,52.40,0.10
Bagels,0.16,1 Oz,78.00,0.00,0.50,151.40,15.10,0.60,3.00,0.00,0.00,21.00,1.00
Wheat Bread,0.05,1 Sl,65.00,0.00,1.00,134.50,12.40,1.30,2.20,0.00,0.00,10.80,0.70
White Bread,0.06,1 Sl,65.00,0.00,1.00,132.50,11.80,1.10,2.30,0.00,0.00,26.20,0.80
Oatmeal Cookies,0.09,1 Cookie,81.00,0.00,3.30,68.90,12.40,0.60,1.10,2.90,0.10,6.70,0.50
Apple Pie,0.16,1 Oz,67.20,0.00,3.10,75.40,9.60,0.50,0.50,35.20,0.90,3.10,0.10
Chocolate Chip Cookies,0.03,1 Cookie,78.10,5.10,4.50,57.80,9.30,0.00,0.90,101.80,0.00,6.20,0.40
"Butter,Regular",0.05,1 Pat,35.80,10.90,4.10,41.30,0.00,0.00,0.00,152.90,0.00,1.20,0.00
Cheddar Cheese,0.25,1 Oz,112.70,29.40,9.30,173.70,0.40,0.00,7.00,296.50,0.00,202.00,0.20
"3.3% Fat,Whole Milk",0.16,1 C,149.90,33.20,8.10,119.60,11.40,0.00,8.00,307.40,2.30,291.30,0.10
2% Lowfat Milk,0.23,1 C,121.20,18.30,4.70,121.80,11.70,0.00,8.10,500.20,2.30,296.70,0.10
Skim Milk,0.13,1 C,85.50,4.40,0.40,126.20,11.90,0.00,8.40,499.80,2.40,302.30,0.10
Poached Eggs,0.08,Lrg Egg,74.50,211.50,5.00,140.00,0.60,0.00,6.20,316.00,0.00,24.50,0.70
Scrambled Eggs,0.11,1 Egg,99.60,211.20,7.30,168.00,1.30,0.00,6.70,409.20,0.10,42.60,0.70
"Bologna,Turkey",0.15,1 Oz,56.40,28.10,4.30,248.90,0.30,0.00,3.90,0.00,0.00,23.80,0.40
"Frankfurter, Beef",0.27,1 Frankfurter,141.80,27.40,12.80,461.70,0.80,0.00,5.40,0.00,10.80,9.00,0.60
"Ham,Sliced,Extralean",0.33,"1 Sl,6-1/4x4x1/16 In",37.10,13.30,1.40,405.10,0.30,0.00,5.50,0.00,7.40,2.00,0.20
"Kielbasa,Prk",0.15,"1 Sl,6x3-3/4x1/16 In",80.60,17.40,7.10,279.80,0.60,0.00,3.40,0.00,5.50,11.40,0.40
Cap'N Crunch,0.31,1 Oz,119.60,0.00,2.60,213.30,23.00,0.50,1.40,40.60,0.00,4.80,7.50
Cheerios,0.28,1 Oz,111.00,0.00,1.80,307.60,19.60,2.00,4.30,1252.20,15.10,48.60,4.50
"Corn Flks, Kellogg'S",0.28,1 Oz,110.50,0.00,0.10,290.50,24.50,0.70,2.30,1252.20,15.10,0.90,1.80
"Raisin Brn, Kellg'S",0.34,1.3 Oz,115.10,0.00,0.70,204.40,27.90,4.00,4.00,1250.20,0.00,12.90,16.80
Rice Krispies,0.32,1 Oz,112.20,0.00,0.20,340.80,24.80,0.40,1.90,1252.20,15.10,4.00,1.80
Special K,0.38,1 Oz,110.80,0.00,0.10,265.50,21.30,0.70,5.60,1252.20,15.10,8.20,4.50
Oatmeal,0.82,1 C,145.10,0.00,2.30,2.30,25.30,4.00,6.10,37.40,0.00,18.70,1.60
"Malt-O-Meal,Choc",0.52,1 C,607.20,0.00,1.50,16.50,128.20,0.00,17.30,0.00,0.00,23.10,4.70
Pizza W/Pepperoni,0.44,1 Slice,181.00,14.20,7.00,267.00,19.90,0.00,10.10,281.90,1.60,64.60,0.90
Taco,0.59,1 Small Taco,369.40,56.40,20.60,802.00,26.70,0.00,20.70,855.00,2.20,220.60,2.40
Hamburger W/Toppings,0.83,1 Burger,275.00,42.80,10.20,563.90,32.70,0.00,13.60,126.30,2.60,51.40,2.50
"Hotdog, Plain",0.31,1 Hotdog,242.10,44.10,14.50,670.30,18.00,0.00,10.40,0.00,0.10,23.50,2.30
Couscous,0.39,1/2 Cup,100.80,0.00,0.10,4.50,20.90,1.30,3.40,0.00,0.00,7.20,0.30
White Rice,0.08,1/2 Cup,102.70,0.00,0.20,0.80,22.30,0.30,2.10,0.00,0.00,7.90,0.90
"Macaroni,Ckd",0.17,1/2 Cup,98.70,0.00,0.50,0.70,19.80,0.90,3.30,0.00,0.00,4.90,1.00
Peanut Butter,0.07,2 Tbsp,188.50,0.00,16.00,155.50,6.90,2.10,7.70,0.00,0.00,13.10,0.60
Pork,0.81,4 Oz,710.80,105.10,72.20,38.40,0.00,0.00,13.80,14.70,0.00,59.90,0.40
Sardines in Oil,0.45,2 Sardines,49.90,34.10,2.70,121.20,0.00,0.00,5.90,53.80,0.00,91.70,0.70
White Tuna in Water,0.69,3 Oz,115.60,35.70,2.10,333.20,0.00,0.00,22.70,68.00,0.00,3.40,0.50
"Popcorn,Air-Popped",0.04,1 Oz,108.30,0.00,1.20,1.10,22.10,4.30,3.40,55.60,0.00,2.80,0.80
"Potato Chips,Bbqflvr",0.22,1 Oz,139.20,0.00,9.20,212.60,15.00,1.20,2.20,61.50,9.60,14.20,0.50
Pretzels,0.12,1 Oz,108.00,0.00,1.00,486.20,22.50,0.90,2.60,0.00,0.00,10.20,1.20
Tortilla Chip,0.19,1 Oz,142.00,0.00,7.40,149.70,17.80,1.80,2.00,55.60,0.00,43.70,0.40
Chicknoodl Soup,0.39,1 C (8 Fl Oz),150.10,12.30,4.60,1862.20,18.70,1.50,7.90,1308.70,0.00,27.10,1.50
Splt Pea&Hamsoup,0.67,1 C (8 Fl Oz),184.80,7.20,4.00,964.80,26.80,4.10,11.10,4872.00,7.00,33.60,2.10
Vegetbeef Soup,0.71,1 C (8 Fl Oz),158.10,10.00,3.80,1915.10,20.40,4.00,11.20,3785.10,4.80,32.60,2.20
Neweng Clamchwd,0.75,1 C (8 Fl Oz),175.70,10.00,5.00,1864.90,21.80,1.50,10.90,20.10,4.80,82.80,2.80
Tomato Soup,0.39,1 C (8 Fl Oz),170.70,0.00,3.80,1744.40,33.20,1.00,4.10,1393.00,133.00,27.60,3.50
"New E Clamchwd,W/Mlk",0.99,1 C (8 Fl Oz),163.70,22.30,6.60,992.00,16.60,1.50,9.50,163.70,3.50,186.00,1.50
"Crm Mshrm Soup,W/Mlk",0.65,1 C (8 Fl Oz),203.40,19.80,13.60,1076.30,15.00,0.50,6.10,153.80,2.20,178.60,0.60
"Beanbacn Soup,W/Watr",0.67,1 C (8 Fl Oz),172.00,2.50,5.90,951.30,22.80,8.60,7.90,888.00,1.50,81.00,2.00